symbol,sector,company_name,owner_label,turnover_cr
LANCORHOL,Realty,Lancor Holdings Limited,Real Estate,0.61
MAFATIND,Capital Goods,Mafatlal Industries Limited,Capital Goods & Industrial Manufacturing,0.61
OSWALGREEN,Chemicals,Oswal Greentech Limited,Chemicals,0.61
RKSWAMY,Media,R K Swamy Limited,Media & Entertainment,0.61
ZIMLAB,Pharma,Zim Laboratories Limited,Pharmaceuticals & Healthcare,0.61
KOTARISUG,Chemicals,Kothari Sugars And Chemicals Limited,Chemicals,0.6
SARLAPOLY,Textiles,Sarla Performance Fibers Limited,Textiles,0.6
MIRZAINT,Consumer Services,Mirza International Limited,Retail & Consumer,0.59
ORICONENT,Forest Materials,Oricon Enterprises Limited,Packaging & Paper,0.59
TECHNVISN,IT,TechNVision Ventures Limited,Information Technology,0.59
MUTHOOTCAP,Finance,Muthoot Capital Services Limited,Banking & Financial Services,0.57
ZODIAC,Energy,Zodiac Energy Limited,"Oil, Gas & Energy",0.57
SSDL,Consumer Services,Saraswati Saree Depot Limited,Retail & Consumer,0.56
SOMICONVEY,Capital Goods,Somi Conveyor Beltings Limited,Capital Goods & Industrial Manufacturing,0.55
STCINDIA,Services,The State Trading Corporation of India Limited,Trading & Distribution,0.55
VAKRANGEE,IT,Vakrangee Limited,Information Technology,0.55
ESSENTIA,Services,Integra Essentia Limited,Trading & Distribution,0.54
ORIENTPPR,Capital Goods,Orient Paper & Industries Limited,Capital Goods & Industrial Manufacturing,0.54
NIRLON,Realty,Nirlon Limited,Real Estate,0.53
SCHAND,Media,S Chand And Company Limited,Media & Entertainment,0.52
SHREDIGCEM,Metal,Shree Digvijay Cement Co.Ltd,Metals & Mining,0.52
RADIANTCMS,Services,Radiant Cash Management Services Limited,Business Services,0.48
WORTHPERI,Services,Worth Peripherals Limited,Trading & Distribution,0.48
WSI,Capital Goods,W S Industries (I) Limited,Capital Goods & Industrial Manufacturing,0.48
KOKUYOCMLN,Capital Goods,Kokuyo Camlin Limited,Capital Goods & Industrial Manufacturing,0.47
RAMAPHO,Chemicals,Rama Phosphates Limited,Chemicals,0.46
SREEL,Consumer Services,Sreeleathers Limited,Retail & Consumer,0.46
KALYANIFRG,Auto,Kalyani Forge Limited,Automobile & Auto Components,0.44
FILATFASH,Consumer Services,Filatex Fashions Limited,Retail & Consumer,0.43
KNAGRI,FMCG,KN Agri Resources Limited,FMCG & Food,0.43
