trade_id,symbol,timeframe,direction,entry_price,sl_price,target_price,result,pnl_r,setup_type,session,notes,date,chart_image
T0107,NSE:IOC,5minute,SHORT,174.12,176.32,169.72,LOSS,-0.5,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-SHORT,2026-02-17,
T0108,NSE:NIFTY BANK,5minute,LONG,61298.62,61193.32,61509.22,WIN,2.0002,OB_BOS,INDIA_MID,SETUP-D,2026-02-18,
T0109,NSE:NIFTY 50,5minute,SHORT,25541.47,25633.5,25357.42,WIN,0.4001,OB_BOS,INDIA_MID,SETUP-D,2026-02-19,
T0110,NSE:AARTIIND,5minute,SHORT,461.65,464.95,455.05,WIN,1.0,OB_CONTINUATION,INDIA_MID,UNIVERSAL-SHORT,2026-02-19,
T0111,NSE:HINDALCO,5minute,SHORT,913.55,913.9,912.85,WIN,2.0,SETUP_B,INDIA_MID,B,2026-02-19,
T0112,NSE:BPCL,5minute,SHORT,372.55,374.5,368.65,WIN,1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-SHORT,2026-02-19,
T0113,NSE:APOLLOHOSP,5minute,LONG,7614.5,7572.5,7698.5,LOSS,-0.5,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-02-19,
T0114,NSE:AUROPHARMA,5minute,LONG,1197.5,1169.9,1252.7,LOSS,-0.5,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-02-19,
T0115,NSE:HEMIPROP,5minute,LONG,144.95,143.11,148.63,LOSS,-0.5,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-02-19,
T0116,NSE:IDBI,5minute,LONG,112.3,110.1,116.7,LOSS,-0.5,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-02-19,
T0117,NSE:AUROPHARMA,5minute,LONG,1191.8,1165.8,1243.8,LOSS,-0.5,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-02-19,
T0118,NSE:BALKRISIND,5minute,SHORT,2589.7,2629.4,2510.3,WIN,1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-SHORT,2026-02-19,
T0119,NSE:DRREDDY,5minute,LONG,1288.7,1277.1,1311.9,LOSS,-0.5,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-02-19,
T0120,NSE:AMBER,5minute,LONG,7784.0,7650.0,8052.0,LOSS,-0.5,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-02-19,
T0121,NSE:INDIACEM,5minute,SHORT,426.0,433.7,410.6,WIN,1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-SHORT,2026-02-19,
T0122,NSE:BAJFINANCE,5minute,LONG,1018.4,995.6,1064.0,LOSS,-0.5,OB_CONTINUATION,INDIA_MID,UNIVERSAL-LONG,2026-02-19,
T0123,NSE:FINCABLES,5minute,SHORT,808.0,828.3,767.4,WIN,0.5,OB_CONTINUATION,INDIA_MID,UNIVERSAL-SHORT,2026-02-19,
T0124,NSE:NIFTY BANK,5minute,LONG,61075.8,60929.74,61367.92,WIN,0.9674,OB_BOS,INDIA_MID,SETUP-D,2026-02-20,
T0125,NSE:NIFTY BANK,5minute,LONG,61325.9,61137.04,61703.62,LOSS,-1.0,OB_BOS,INDIA_MID,SETUP-D,2026-02-23,
T0126,NSE:NIFTY 50,5minute,SHORT,25669.62,25670.6,25667.66,WIN,1.9796,OB_BOS,INDIA_MID,SETUP-D,2026-02-23,
T0127,NSE:BEML,5minute,LONG,1715.96,1663.68,1820.52,LOSS,-0.25,OB_CONTINUATION,KILLZONE_AM,UNIVERSAL-LONG,2026-02-23,
T0128,NSE:NIFTY 50,5minute,SHORT,25303.47,25315.4,25279.61,WIN,1.9983,OB_BOS,INDIA_MID,SETUP-D,2026-02-27,
T0129,NSE:NIFTY BANK,5minute,SHORT,58551.0,58756.58,58139.84,LOSS,-1.0,OB_BOS,INDIA_MID,SETUP-D,2026-03-04,
T0130,NSE:NIFTY 50,5minute,LONG,24406.47,24322.83,24573.75,WIN,2.0001,OB_BOS,INDIA_MID,SETUP-D,2026-03-04,
T0131,NSE:KOTAKBANK,5minute,SHORT,400.35,427.19,346.67,LOSS,-0.25,OB_CONTINUATION,KILLZONE_AM,UNIVERSAL-SHORT,2026-03-05,
